PRICEK,DSALE,BEDROOM,SQFTK,LN_LOTSIZE,CENTRALAIR,BRICK,GARAGE,FIREPLACE,BASE_FIN,MASONRY,PUBOPEN,MICHLAKE,LAKE_RIVER,METRA_DIST,RAIL_DIST
573.5000026,0,3,2.06,8.802372134,0,1,1,1,0,1,1,0,0,0.64178,0.33319
234.9999993,0,3,1.408,8.938006576,1,1,1,1,0,1,1,0,0,0.55894,0.3174
688.0000021,0,4,2.004,8.873468055,1,1,2,1,1,1,1,0,0,0.41607,0.15489
649.9999988,0,3,1.911,8.740336743,1,0,1,3,1,1,1,0,0,0.32722,0.12147
454.0000014,0,2,1.803,8.680331929,1,1,2,1,0,1,0,0,0,0.84737,0.2978
419.9999999,0,3,1.325,8.520388082,1,1,2,1,0,1,0,0,0,0.57923,0.32602
449.9999992,0,3,1.47,8.603370888,1,0,2,0,1,1,0,0,0,0.80382,0.37223
559.9999985,0,3,1.47,8.603370888,1,1,2,0,1,1,1,0,0,0.8453,0.38708
479.9999986,0,3,1.437,8.561018671,1,1,2,1,1,1,1,0,0,0.87894,0.404
469.9999983,0,4,2.14,8.517193191,1,1,2,0,0,1,0,0,0,0.90967,0.33875
390.0000007,0,3,1.325,8.517193191,1,1,2,0,1,0,0,0,0,0.91397,0.35827
460.0000007,0,3,1.233,8.770128528,0,1,2,0,0,1,0,0,0,0.58037,0.26306
694.9999968,0,4,2.301,8.779557456,1,1,2,0,1,1,1,0,0,0.52715,0.20231
460.0000007,0,4,1.008,8.770128528,1,1,1,0,0,1,1,0,0,0.53881,0.2892
525.9999991,0,3,1.599,8.556413905,1,1,1,1,1,1,1,0,0,0.54119,0.24555
625.0000008,0,4,1.675,8.68270763,1,1,2,0,1,1,1,0,0,0.48154,0.12474
810.0000027,0,5,2.062,8.732304571,0,0,2,1,0,1,1,0,0,0.47022,0.17535
